date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:06	4516/4516	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259b10a65-11a4%22	http://sites.udel.edu/arden-map/wp-content/mu-plugins/lean-captcha/js/lean-captcha.js?ver=20170906	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/mu-plugins/lean-captcha/js/lean-captcha5685.js	(from http://sites.udel.edu/arden-map/)
12:50:06	26072/26072	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:50:06%20+0000	http://sites.udel.edu/arden-map/about-the-ardens/	/home/trescube/arden/sites.udel.edu/arden-map/about-the-ardens/index.html	(from http://sites.udel.edu/arden-map/)
12:50:06	11996/11996	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225911c200-2edc%22	http://sites.udel.edu/arden-map/wp-content/plugins/wp-featherlight/js/wpFeatherlight.pkgd.min.js?ver=0.3.1	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/plugins/wp-featherlight/js/wpFeatherlight.pkgd.min771e.js	(from http://sites.udel.edu/arden-map/)
12:50:07	1398/1398	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258775b68-576%22	http://sites.udel.edu/arden-map/wp-includes/js/wp-embed.min.js?ver=4.8.2	/home/trescube/arden/sites.udel.edu/arden-map/wp-includes/js/wp-embed.min4a41.js	(from http://sites.udel.edu/arden-map/)
12:50:08	29306/29306	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:07%20GMT	http://sites.udel.edu/arden-map/about-the-ardens/early-arden/	/home/trescube/arden/sites.udel.edu/arden-map/about-the-ardens/early-arden/index.html	(from http://sites.udel.edu/arden-map/)
12:50:09	30027/30027	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:50:08%20+0000	http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/	/home/trescube/arden/sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/index.html	(from http://sites.udel.edu/arden-map/)
12:50:09	23429/23429	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:08%20GMT	http://sites.udel.edu/arden-map/about-the-ardens/arden-expands/	/home/trescube/arden/sites.udel.edu/arden-map/about-the-ardens/arden-expands/index.html	(from http://sites.udel.edu/arden-map/)
12:50:09	30029/30029	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:50:09%20+0000	http://sites.udel.edu/arden-map/architecture-in-the-ardens/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/index.html	(from http://sites.udel.edu/arden-map/)
12:50:09	1219/1219	---M--	200	added ('OK')	image/png	etag:%225911c272-4c3%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-fb.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-fb.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:09	1415/1415	---M--	200	added ('OK')	image/png	etag:%225911c272-587%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-tw.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-tw.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:10	23596/23596	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:09%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/william-morris-and-the-arts-and-crafts-movement/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/william-morris-and-the-arts-and-crafts-movement/index.html	(from http://sites.udel.edu/arden-map/)
12:50:10	1482/1482	---M--	200	added ('OK')	image/png	etag:%225911c272-5ca%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-gp.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-gp.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:10	1402/1402	---M--	200	added ('OK')	image/png	etag:%225911c272-57a%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-pi.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-pi.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:10	1083/1083	---M--	200	added ('OK')	image/png	etag:%225911c272-43b%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-li.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-li.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:10	1486/1486	---M--	200	added ('OK')	image/png	etag:%225911c272-5ce%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-yt.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-yt.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:11	1237/1237	---M--	200	added ('OK')	image/png	etag:%225911c272-4d5%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-tu.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-tu.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:11	30916/30916	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:50:11%20+0000	http://sites.udel.edu/arden-map/architecture-in-the-ardens/architectural-phases-and-ardens-development/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/architectural-phases-and-ardens-development/index.html	(from http://sites.udel.edu/arden-map/)
12:50:11	1376/1376	---M--	200	added ('OK')	image/png	etag:%225911c272-560%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-in.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-in.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:11	1085/1085	---M--	200	added ('OK')	image/png	etag:%225911c272-43d%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-fl.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-fl.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:12	1281/1281	---M--	200	added ('OK')	image/png	etag:%225911c272-501%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-vi.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-vi.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:12	1403/1403	---M--	200	added ('OK')	image/png	etag:%225911c272-57b%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-ye.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-ye.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:12	23509/23509	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:12%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/the-value-of-simplicity/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/the-value-of-simplicity/index.html	(from http://sites.udel.edu/arden-map/)
12:50:12	1333/1333	---M--	200	added ('OK')	image/png	etag:%225911c272-535%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-rss.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-rss.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:12	1198/1198	---M--	200	added ('OK')	image/png	etag:%225911c272-4ae%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-email.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-email.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:12	1287/1287	---M--	200	added ('OK')	image/png	etag:%225911c272-507%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-search-w.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-search-w.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:13	1175/1175	---M--	200	added ('OK')	image/png	etag:%225911c272-497%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-comment.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/icon-comment.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:13	982/982	---M--	200	added ('OK')	image/png	etag:%225911c272-3d6%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-right.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-right.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
